ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
1058298_18,Fire,no,-2.81489358529171,15.94087447391,33MXS,treelossTF,1,83,0,0,0,9,0,0,24,0,1.0,1.0,NA,1.0,1.0,1.0,0.7931034482758621,1.0
1058298_19,noChange,no,-2.85417653546463,16.0186361038173,33MXS,treelossTF,4,119,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1058298_20,Fire,no,-2.79584723438128,16.0010430972708,33MXS,treelossTF,3,61,0,0,0,57,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
1085866_1,Shifting cultivation,no,-7.53718293238607,29.7726538682569,35MRM,cropnew,2,56,21,0,0,42,0,0,0,0,0.6666666666666666,1.0,NA,NA,0.6666666666666666,1.0,1.0,0.8235294117647058
1085866_2,Crop cycle change; fire,,-7.49562482478604,29.828610188406,35MRM,cropnew,2,0,0,1,0,0,0,1,0,116,NA,NA,0.9914529914529915,0.9914529914529915,0.9914529914529915,0.9914529914529915,0.9830508474576272,0.9830508474576272
1085866_3,Fire,no,-7.48143666613845,29.8008172046269,35MRM,cropnew,2,97,0,0,0,0,4,1,21,15,1.0,NA,1.0,0.972972972972973,1.0,0.975609756097561,0.8115942028985508,0.9927536231884058
1085866_4,Crop cycle change,no,-7.51229954448946,29.8067182965852,35MRM,cropnew,3,103,0,0,0,17,0,0,17,0,1.0,1.0,NA,1.0,1.0,1.0,0.8759124087591241,1.0
1085866_5,noChange,no,-7.5067217183264,29.8311262650281,35MRM,cropnew,1,131,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1085866_6,Fire; savanna,no,-7.50237458207281,29.832727682636,35MRM,cropnew,3,83,29,0,0,23,0,0,0,0,0.4423076923076923,1.0,NA,NA,0.4423076923076923,1.0,1.0,0.7851851851851852
1085866_7,Fire; savanna,no,-7.52849596423457,29.8171437184531,35MRM,cropnew,2,0,0,0,17,0,0,0,0,137,NA,0.0,1.0,NA,1.0,0.8896103896103896,1.0,0.8896103896103896
1085866_8,Fire; savanna,no,-7.54640358277176,29.8561009713127,35MRM,cropnew,1,125,0,0,0,0,0,15,0,0,NA,NA,NA,0.0,NA,0.0,0.8928571428571429,0.8928571428571429
1085866_9,Fire; savanna,no,-7.54488890291538,29.8389792899467,35MRM,cropnew,3,68,2,0,1,25,0,2,43,10,0.9714285714285714,0.9615384615384616,1.0,0.9636363636363636,0.975,0.9629629629629629,0.7019867549668874,0.9668874172185431
1085866_10,Crop cycle change,no,-7.55917767866046,29.8507524673236,35MRM,cropnew,2,25,0,0,0,0,0,9,0,105,NA,NA,1.0,0.9210526315789473,1.0,0.9210526315789473,0.935251798561151,0.935251798561151
1085866_11,Shifting cultivation,no,-7.48299109776456,29.7693226399893,35MRM,cropnew,1,106,0,0,18,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.8548387096774194
1085866_12,Fire; managed,no,-7.53553422181587,29.7761745063872,35MRM,cropnew,3,30,0,0,0,3,0,0,114,0,1.0,1.0,NA,1.0,1.0,1.0,0.22448979591836735,1.0
1085866_13,Fire; savanna,no,-7.53337614209034,29.7745310120436,35MRM,cropnew,3,51,0,0,0,105,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
1085866_14,Fire; savanna,no,-7.51161444171745,29.8289851651857,35MRM,cropnew,2,0,0,0,18,0,0,0,0,120,NA,0.0,1.0,NA,1.0,0.8695652173913043,1.0,0.8695652173913043
1085866_15,noChange,no,-7.51561454815462,29.796961742125,35MRM,cropnew,1,153,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1085866_16,Fire; savanna,no,-7.50313252538823,29.7990546869457,35MRM,cropnew,3,136,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1085866_17,noChange,no,-7.47719582225519,29.8282197426057,35MRM,cropnew,4,150,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1085866_18,noChange,no,-7.51054236483463,29.78470699344,35MRM,cropnew,4,128,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1085866_19,Fire;savanna,no,-7.53099991037131,29.8071101711498,35MRM,cropnew,1,112,0,0,0,0,0,19,0,0,NA,NA,NA,0.0,NA,0.0,0.8549618320610687,0.8549618320610687
1085866_20,Fire; savanna,no,-7.53307919015806,29.8209759336214,35MRM,cropnew,1,110,0,0,0,0,0,2,0,0,NA,NA,NA,0.0,NA,0.0,0.9821428571428571,0.9821428571428571
1125880_1,noChange,no,-15.851625002551,132.278503381386,53LKC,other,3,110,19,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.8527131782945736
1125880_2,noChange,no,-15.8504709512646,132.272920515525,53LKC,other,2,18,0,118,0,0,0,0,0,0,NA,NA,0.0,NA,0.0,NA,0.1323529411764706,0.1323529411764706
1125880_3,Fire,no,-15.8495023307463,132.218071198518,53LKC,other,3,108,0,0,0,1,12,0,0,0,1.0,1.0,1.0,NA,1.0,1.0,0.9008264462809917,1.0
1125880_4,Fire,no,-15.8463556780679,132.226231458391,53LKC,other,2,0,0,4,1,0,121,0,0,0,NA,0.9918032786885246,0.968,NA,0.968,0.9918032786885246,0.007936507936507936,0.9603174603174603
1125880_5,Fire,no,-15.8561882699841,132.211261601766,53LKC,other,3,119,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1125880_6,Natural browning and greening,no,-15.8559619711282,132.300279548545,53LKC,other,4,114,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1125880_7,Fire,no,-15.850040524656,132.217783914587,53LKC,other,2,102,0,4,0,0,0,0,0,0,NA,NA,0.0,NA,0.0,NA,0.9622641509433962,0.9622641509433962
1125880_8,noChange,no,-15.9266129278072,132.209730813324,53LKC,other,4,126,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1125880_9,Fire,no,-15.8495992670623,132.22562731085,53LKC,other,2,0,0,4,1,0,121,0,0,0,NA,0.9918032786885246,0.968,NA,0.968,0.9918032786885246,0.007936507936507936,0.9603174603174603
1125880_10,Fire,no,-15.8493104396342,132.224231732635,53LKC,other,2,0,0,4,1,0,121,0,0,0,NA,0.9918032786885246,0.968,NA,0.968,0.9918032786885246,0.007936507936507936,0.9603174603174603
1125880_11,Fire,no,-15.8461026959666,132.227634423012,53LKC,other,2,0,0,4,1,0,121,0,0,0,NA,0.9918032786885246,0.968,NA,0.968,0.9918032786885246,0.007936507936507936,0.9603174603174603
1125880_12,Fire,no,-15.8637450367938,132.294297187753,53LKC,other,3,28,84,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.25
1125880_13,Fire,no,-15.8433179805264,132.26433954418,53LKC,other,3,110,3,0,0,23,0,0,0,0,0.8846153846153846,1.0,NA,NA,0.8846153846153846,1.0,1.0,0.9779411764705882
1125880_14,Fire,no,-15.8449114934214,132.219253721867,53LKC,other,2,0,0,3,1,0,123,0,0,0,NA,0.9919354838709677,0.9761904761904762,NA,0.9761904761904762,0.9919354838709677,0.007874015748031496,0.968503937007874
1125880_15,Fire,no,-15.8468903025887,132.22566434688,53LKC,other,2,0,0,4,1,0,121,0,0,0,NA,0.9918032786885246,0.968,NA,0.968,0.9918032786885246,0.007936507936507936,0.9603174603174603
1125880_16,Fire,no,-15.8451752024989,132.21869031192,53LKC,other,3,0,3,0,1,94,0,0,0,0,0.9690721649484536,0.9894736842105263,NA,NA,0.9690721649484536,0.9894736842105263,1.0,0.9591836734693877
1141323_1,Variable water,no,-18.2435927377996,137.381432842524,53KQV,waternew,1,60,16,0,14,66,0,0,0,0,0.8048780487804879,0.825,NA,NA,0.8048780487804879,0.825,1.0,0.8076923076923077
1141323_2,Fire,no,-18.2691537731949,137.307754609237,53KQV,waternew,4,156,0,0,30,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.8387096774193549
1141323_3,Fire,no,-18.1893484817236,137.363685411772,53KQV,waternew,3,168,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1141323_4,New water,no,-18.2497708492882,137.385770885354,53KQV,waternew,1,148,0,0,14,19,0,0,0,0,1.0,0.5757575757575758,NA,NA,1.0,0.5757575757575758,1.0,0.9226519337016574
1141323_5,New water,no,-18.251034252472,137.371324918489,53KQV,waternew,2,0,0,8,12,7,157,0,0,0,1.0,0.9318181818181818,0.9515151515151515,NA,0.9534883720930233,0.9318181818181818,0.10326086956521739,0.8913043478260869
1141323_6,Fire,no,-18.2407779384303,137.368066396814,53KQV,waternew,3,179,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1141323_7,Variable water,no,-18.2536095971827,137.382136566145,53KQV,waternew,1,95,10,0,56,7,0,0,0,0,0.4117647058823529,0.1111111111111111,NA,NA,0.4117647058823529,0.1111111111111111,1.0,0.6071428571428571
1141323_8,New water,no,-18.251034252472,137.371324918489,53KQV,waternew,2,0,0,8,12,7,157,0,0,0,1.0,0.9318181818181818,0.9515151515151515,NA,0.9534883720930233,0.9318181818181818,0.10326086956521739,0.8913043478260869
1141323_9,Variable water,no,-18.2656040047034,137.376344267634,53KQV,waternew,2,0,0,0,10,9,165,0,0,0,1.0,0.9456521739130435,1.0,NA,1.0,0.9456521739130435,0.10326086956521739,0.9456521739130435
1141323_10,Variable water,natural,-18.2558685813656,137.374793764731,53KQV,waternew,1,79,18,0,0,75,0,0,0,0,0.8064516129032258,1.0,NA,NA,0.8064516129032258,1.0,1.0,0.8953488372093024
1141323_11,Fire,no,-18.2062834562649,137.37468764849,53KQV,waternew,3,153,0,0,4,27,0,0,0,0,1.0,0.8709677419354839,NA,NA,1.0,0.8709677419354839,1.0,0.9782608695652174
1141323_12,Fire,no,-18.2155059985982,137.329729995467,53KQV,waternew,3,154,0,0,20,8,0,0,0,0,1.0,0.2857142857142857,NA,NA,1.0,0.2857142857142857,1.0,0.8901098901098901
1141323_13,Variable water,no,-18.2667756422168,137.369269740736,53KQV,waternew,2,12,0,0,0,0,0,3,10,139,1.0,NA,1.0,0.9802631578947368,1.0,0.9802631578947368,0.9207317073170732,0.9817073170731707
1141323_14,Fire,no,-18.2184486426369,137.310487814596,53KQV,waternew,4,171,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1141323_15,Variable water,no,-18.2639185420763,137.38114275216,53KQV,waternew,2,0,1,0,6,9,161,0,0,0,0.9,0.9659090909090909,1.0,NA,0.9941520467836257,0.9659090909090909,0.0903954802259887,0.96045197740113
1141323_16,Variable water,no,-18.2633661161019,137.381986053392,53KQV,waternew,1,137,8,0,14,17,0,0,0,0,0.68,0.5483870967741935,NA,NA,0.68,0.5483870967741935,1.0,0.875
1141323_17,Fire,no,-18.2032527004402,137.356784990255,53KQV,waternew,3,153,0,0,4,27,0,0,0,0,1.0,0.8709677419354839,NA,NA,1.0,0.8709677419354839,1.0,0.9782608695652174
1141323_18,Variable water,no,-18.2486486337956,137.367038685727,53KQV,waternew,1,60,0,0,13,99,0,0,0,0,1.0,0.8839285714285714,NA,NA,1.0,0.8839285714285714,1.0,0.9244186046511628
1141323_19,Fire,no,-18.2118244825676,137.364839223869,53KQV,waternew,3,159,3,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.9814814814814815
1141323_20,Variable water,no,-18.2651988836148,137.387116125565,53KQV,waternew,2,0,0,2,5,7,170,0,0,0,1.0,0.9725274725274725,0.9883720930232558,NA,0.9888268156424581,0.9725274725274725,0.06521739130434782,0.9619565217391305
1143507_1,Fire,no,-18.5636601420827,122.851546535525,51KVV,oldcrop_short,2,110,0,0,1,81,0,0,0,0,1.0,0.9878048780487805,NA,NA,1.0,0.9878048780487805,1.0,0.9947916666666666
1143507_2,Fire,no,-18.6243991423701,122.855759947684,51KVV,oldcrop_short,1,0,0,0,17,2,172,0,0,0,1.0,0.9109947643979057,1.0,NA,1.0,0.9109947643979057,0.09947643979057591,0.9109947643979057
1143507_3,Fire,no,-18.5593445720716,122.8839599356,51KVV,oldcrop_short,2,111,0,0,57,21,0,0,0,0,1.0,0.2692307692307692,NA,NA,1.0,0.2692307692307692,1.0,0.6984126984126984
1143507_4,Fire,no,-18.6276543449044,122.857748062407,51KVV,oldcrop_short,1,0,0,0,3,25,163,0,0,0,1.0,0.9842931937172775,1.0,NA,1.0,0.9842931937172775,0.14659685863874344,0.9842931937172775
1143507_5,Fire,no,-18.6181076698474,122.796042854373,51KVV,oldcrop_short,1,121,0,0,0,15,32,0,0,0,1.0,1.0,1.0,NA,1.0,1.0,0.8095238095238095,1.0
1143507_6,Fire,no,-18.6127403063052,122.856054159867,51KVV,oldcrop_short,1,137,6,27,0,0,0,0,0,0,0.0,NA,0.0,NA,0.0,NA,0.8411764705882353,0.8058823529411765
1143507_7,Fire,no,-18.5539110597035,122.867759281923,51KVV,oldcrop_short,2,119,0,0,68,4,0,0,0,0,1.0,0.05555555555555555,NA,NA,1.0,0.05555555555555555,1.0,0.643979057591623
1143507_8,Fire,no,-18.6287391218484,122.858031570419,51KVV,oldcrop_short,1,0,0,0,0,26,164,0,0,0,1.0,1.0,1.0,NA,1.0,1.0,0.1368421052631579,1.0
1143507_9,Fire,no,-18.6127394331986,122.854916625452,51KVV,oldcrop_short,3,20,6,142,0,0,0,0,0,0,0.0,NA,0.0,NA,0.0,NA,0.15476190476190477,0.11904761904761904
1143507_10,Fire; dynamic between fires,no,-18.6024367268854,122.855778455918,51KVV,oldcrop_short,4,96,0,0,83,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.5363128491620112
1143507_11,Fire,no,-18.5888413493557,122.812285287626,51KVV,oldcrop_short,4,156,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1143507_12,Fire,no,-18.6149111595052,122.858327433303,51KVV,oldcrop_short,3,13,0,0,5,77,0,0,0,0,1.0,0.9390243902439024,NA,NA,1.0,0.9390243902439024,1.0,0.9473684210526315
1143507_13,Fire,no,-18.6287418754272,122.861728903769,51KVV,oldcrop_short,1,0,0,0,1,25,163,0,0,0,1.0,0.9947089947089947,1.0,NA,1.0,0.9947089947089947,0.13756613756613756,0.9947089947089947
1143507_14,Fire,no,-18.5541586893564,122.837624711469,51KVV,oldcrop_short,2,110,0,0,12,67,0,0,0,0,1.0,0.8481012658227848,NA,NA,1.0,0.8481012658227848,1.0,0.9365079365079365
1143507_15,Fire,no,-18.6018993381894,122.86231932226,51KVV,oldcrop_short,2,106,3,0,82,0,0,0,0,0,0.0,0.0,NA,NA,0.0,0.0,1.0,0.5549738219895288
1143507_16,Fire,no,-18.5430576862708,122.857249707991,51KVV,oldcrop_short,2,23,131,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.14935064935064934
1147060_1,Variable water,no,-19.1684873470178,132.736369088374,53KKU,waternew,3,108,0,0,64,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.627906976744186
1147060_2,Variable water,no,-19.1209572331997,132.794031564645,53KKU,waternew,3,182,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1147060_3,noChange,no,-19.1134498054177,132.80068765358,53KKU,waternew,1,181,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1147060_4,Variable water,no,-19.1292469520766,132.740325386552,53KKU,waternew,3,15,117,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.11363636363636363
1147060_5,Variable water,no,-19.1165316671131,132.719974123782,53KKU,waternew,3,7,11,0,20,132,0,0,0,0,0.9230769230769231,0.868421052631579,NA,NA,0.9230769230769231,0.868421052631579,1.0,0.8176470588235294
1147060_6,Variable water,no,-19.1474755978467,132.724396106972,53KKU,waternew,2,5,0,0,3,4,160,0,0,0,1.0,0.9820359281437125,1.0,NA,1.0,0.9820359281437125,0.06976744186046512,0.9825581395348837
1147060_7,Variable water,no,-19.1124171508621,132.804977246862,53KKU,waternew,1,99,48,0,12,10,0,0,0,0,0.1724137931034483,0.45454545454545453,NA,NA,0.1724137931034483,0.45454545454545453,1.0,0.6449704142011834
1147060_8,Variable water,no,-19.1122957960688,132.728013617968,53KKU,waternew,2,8,8,0,2,98,45,0,0,0,0.9245283018867925,0.9862068965517241,1.0,NA,0.9470198675496688,0.9862068965517241,0.7204968944099379,0.937888198757764
1147060_9,Variable water,no,-19.1431970044267,132.795731925394,53KKU,waternew,3,5,6,0,15,149,0,0,0,0,0.9612903225806452,0.9085365853658537,NA,NA,0.9612903225806452,0.9085365853658537,1.0,0.88
1147060_10,noChange,,-19.1523227632842,132.788482458781,53KKU,waternew,4,182,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1147060_11,Variable water,no,-19.1108200138341,132.784759198696,53KKU,waternew,1,99,1,0,16,59,0,0,0,0,0.9833333333333333,0.7866666666666666,NA,NA,0.9833333333333333,0.7866666666666666,1.0,0.9028571428571428
1147060_12,Variable water,no,-19.1232903096406,132.718741119639,53KKU,waternew,2,5,0,0,4,2,168,0,0,0,1.0,0.9770114942528736,1.0,NA,1.0,0.9770114942528736,0.061452513966480445,0.9776536312849162
1147060_13,Variable water,no,-19.1474685347943,132.723825983089,53KKU,waternew,2,5,0,0,1,6,160,0,0,0,1.0,0.9940119760479041,1.0,NA,1.0,0.9940119760479041,0.06976744186046512,0.9941860465116279
1147060_14,Variable water,no,-19.1122852363281,132.727158611111,53KKU,waternew,2,99,0,0,0,11,45,0,0,0,1.0,1.0,1.0,NA,1.0,1.0,0.7096774193548387,1.0
1147060_15,Variable water,no,-19.1166360990814,132.795229192344,53KKU,waternew,1,107,34,0,14,12,0,0,0,0,0.2608695652173913,0.46153846153846156,NA,NA,0.2608695652173913,0.46153846153846156,1.0,0.7125748502994012
1147060_16,noChange,no,-19.1145369180908,132.800958336946,53KKU,waternew,1,63,106,0,0,0,0,0,0,0,0.0,NA,NA,NA,0.0,NA,1.0,0.3727810650887574
1147060_17,Variable water,no,-19.1192563754632,132.787782555606,53KKU,waternew,1,27,12,0,9,132,0,0,0,0,0.9166666666666666,0.9361702127659575,NA,NA,0.9166666666666666,0.9361702127659575,1.0,0.8833333333333333
