ID,changetype,conversion,latitude,longitude,MGRS,blockstratum,substratum,refno_mapno,refno_maplow,refno_maphigh,reflow_mapno,reflow_maplow,reflow_maphigh,refhigh_mapno,refhigh_maplow,refhigh_maphigh,userslow,producerslow,usershigh,producershigh,usersall,producersall,overallhigh,overallall
1058298_18,Fire,no,-2.81489358529171,15.94087447391,33MXS,treelossTF,1,83,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1058298_19,noChange,no,-2.85417653546463,16.0186361038173,33MXS,treelossTF,4,119,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1058298_20,Fire,no,-2.79584723438128,16.0010430972708,33MXS,treelossTF,3,61,0,0,0,41,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
1085866_1,Shifting cultivation,no,-7.53718293238607,29.7726538682569,35MRM,cropnew,2,39,0,0,21,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.65
1085866_2,Crop cycle change; fire,,-7.49562482478604,29.828610188406,35MRM,cropnew,2,0,0,0,0,0,0,1,0,92,NA,NA,1.0,0.989247311827957,1.0,0.989247311827957,0.989247311827957,0.989247311827957
1085866_3,Fire,no,-7.48143666613845,29.8008172046269,35MRM,cropnew,2,97,0,0,0,0,0,1,0,0,NA,NA,NA,0.0,NA,0.0,0.9897959183673469,0.9897959183673469
1085866_4,Crop cycle change,no,-7.51229954448946,29.8067182965852,35MRM,cropnew,3,98,0,0,5,0,0,0,1,0,1.0,0.0,NA,1.0,1.0,0.16666666666666666,0.9903846153846154,0.9519230769230769
1085866_5,noChange,no,-7.5067217183264,29.8311262650281,35MRM,cropnew,1,131,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.0,1.0
1085866_6,Fire; savanna,no,-7.50237458207281,29.832727682636,35MRM,cropnew,3,83,0,0,0,8,0,0,0,0,1.0,1.0,NA,NA,1.0,1.0,1.0,1.0
1085866_7,Fire; savanna,no,-7.52849596423457,29.8171437184531,35MRM,cropnew,2,0,0,0,17,0,0,0,0,109,NA,0.0,1.0,NA,1.0,0.8650793650793651,1.0,0.8650793650793651
1085866_8,Fire; savanna,no,-7.54640358277176,29.8561009713127,35MRM,cropnew,1,125,0,0,0,0,0,15,0,0,NA,NA,NA,0.0,NA,0.0,0.8928571428571429,0.8928571428571429
1085866_9,Fire; savanna,no,-7.54488890291538,29.8389792899467,35MRM,cropnew,3,68,0,0,1,0,0,2,43,0,1.0,0.0,NA,0.9555555555555556,1.0,0.9347826086956522,0.6052631578947368,0.9736842105263158
1085866_10,Crop cycle change,no,-7.55917767866046,29.8507524673236,35MRM,cropnew,2,25,0,0,0,0,0,9,0,70,NA,NA,1.0,0.8860759493670886,1.0,0.8860759493670886,0.9134615384615384,0.9134615384615384
1085866_11,Shifting cultivation,no,-7.48299109776456,29.7693226399893,35MRM,cropnew,1,106,0,0,18,0,0,0,0,0,NA,0.0,NA,NA,NA,0.0,1.0,0.8548387096774194
