ID,Block,subID,blockStratum,substratum,zone,x,y,centx,centy,long,lat,MGRS
40284_20,40284,20,treelosswet,3,47,830916.8529,693739.7714,830925,693735,101.9903679,6.267652088,47NRG
41318_1,41318,1,waternew,2,36,329876.7843,714153.4375,329865,714165,31.4615204,6.458675713,36NUN
41318_2,41318,2,waternew,2,36,330226.4938,713715.5409,330225,713715,31.46478724,6.454616234,36NUN
41318_3,41318,3,waternew,4,36,330176.7913,715283.2757,330165,715275,31.46420226,6.468721511,36NUN
41318_4,41318,4,waternew,3,36,326445.1956,708311.5092,326445,708315,31.43076448,6.405681204,36NUN
41318_5,41318,5,waternew,3,36,328857.2925,715227.674,328845,715215,31.45227026,6.468142746,36NUN
41318_6,41318,6,waternew,2,36,325627.9006,715433.5704,325635,715425,31.42324421,6.469952534,36NUN
41318_7,41318,7,waternew,1,36,328850.569,709363.3647,328845,709365,31.45243056,6.415242082,36NUN
41318_8,41318,8,waternew,3,36,330692.2114,711915.4809,330705,711915,31.46917547,6.43835204,36NUN
41318_9,41318,9,waternew,1,36,327422.1129,716370.9453,327435,716385,31.43949054,6.478683831,36NUN
41318_10,41318,10,waternew,1,36,333069.8213,711015.8325,333075,711015,31.49062478,6.430277104,36NUN
41318_11,41318,11,waternew,3,36,329998.1087,710108.3223,329985,710115,31.46271548,6.422055273,36NUN
41318_12,41318,12,waternew,1,36,329091.2874,708211.1994,329085,708225,31.45463113,6.404939757,36NUN
41318_13,41318,13,waternew,3,36,332754.0819,708525.2129,332745,708525,31.48770799,6.407751203,36NUN
41318_14,41318,14,waternew,1,36,324349.3593,713640.302,324345,713655,31.41163191,6.453910702,36NUN
41318_15,41318,15,waternew,3,36,329803.5194,710659.5267,329805,710655,31.46107363,6.426933546,36NUN
41318_16,41318,16,waternew,2,36,327644.6015,714493.8417,327645,714495,31.44144149,6.461598789,36NUN
41318_17,41318,17,waternew,1,36,326678.9354,712403.1442,326685,712395,31.43282105,6.442582337,36NUN
41318_18,41318,18,waternew,2,36,327961.5033,714650.7446,327975,714645,31.4444207,6.462964339,36NUN
41318_19,41318,19,waternew,2,36,325389.623,715451.8767,325395,715455,31.42107364,6.470217079,36NUN
41318_20,41318,20,waternew,4,36,327297.4311,709682.5076,327285,709695,31.43831963,6.418183427,36NUN
64176_1,64176,1,wetshort,2,36,427909.6872,1056163.108,427905,1056165,32.34306179,9.553951046,36PVR
64176_2,64176,2,wetshort,2,36,425372.8257,1056166.653,425385,1056165,32.32010034,9.553906913,36PVR
64176_3,64176,3,wetshort,2,36,426681.9108,1058155.048,426675,1058145,32.33181945,9.571837185,36PVR
64176_4,64176,4,wetshort,3,36,424499.674,1059561.922,424485,1059555,32.31183818,9.584550441,36PVR
64176_5,64176,5,wetshort,4,36,429141.4506,1063497.719,429135,1063485,32.35414398,9.620175695,36PVR
64176_6,64176,6,wetshort,2,36,427158.6423,1056439.451,427155,1056435,32.33622328,9.556380003,36PVR
